split,scenario_id,shape,orientation_index,target_score,heuristic_score,visible_defect_estimate,normal_x,normal_y,normal_z,abs_normal_x,abs_normal_y,abs_normal_z,defect_count,severity_mean,severity_max,front_defect_ratio,legacy_visible_ratio,centrality_mean,centrality_max,severity_centrality_mean,ray_exit_min_norm,ray_exit_mean_norm,ray_exit_std_norm,depth_mean_norm,depth_std_norm,shape_xy_aspect,shape_z_fraction,shape_volume_norm,shape_area_norm,aligned_face_area_share,visibility_proxy
validation,cushion_cut_000,Cushion Cut,0,68.01635839050773,76.25867852054756,1,-0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.9623178040005632,1.355266826822822,0.6666666666666666,0.3333333333333333,0.6356894920328762,0.7863071192228999,0.6339352337103451,0.2534365470674588,0.3560323504255489,0.12586785205475645,0.153146716094344,0.12586785205475648,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.28900878809333636,0.33181204691695615
validation,cushion_cut_000,Cushion Cut,1,85.76487269657643,76.279038121217,1,0.0,0.07376941568263849,-0.9972753247272501,0.0,0.07376941568263849,0.9972753247272501,3.0,0.9623178040005632,1.355266826822822,0.3333333333333333,0.3333333333333333,0.639420677615213,0.7834697727749054,0.6395531661804936,0.47388834961136156,0.6454289639846539,0.12231027927979778,-0.17267234369824225,0.12790381212169938,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.31159562003099045,0.15937195279266278
validation,cushion_cut_000,Cushion Cut,2,85.78219197379873,76.2314658076692,1,-0.0,-0.07376941568263862,-0.9972753247272501,0.0,0.07376941568263862,0.9972753247272501,3.0,0.9623178040005632,1.355266826822822,0.3333333333333333,0.3333333333333333,0.626123617431375,0.7861601124716912,0.6232105272758094,0.46873061829555157,0.6384487539318542,0.12100331678544156,-0.13278653834955545,0.1231465807669197,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.31159561986050494,0.1588516414996194
validation,cushion_cut_000,Cushion Cut,3,84.66474914759989,50.24169040867753,2,0.0,-0.9064173311885496,-0.42238326401625725,0.0,0.9064173311885496,0.42238326401625725,3.0,0.9623178040005632,1.355266826822822,1.0,0.6666666666666666,0.5928827790030393,0.8663811689933089,0.5829763579894028,0.5625932834826027,0.6163027790789642,0.04481186753910565,0.18035522020068676,0.02416904086775243,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.12353720188782057,0.16941594379238953
validation,cushion_cut_000,Cushion Cut,4,95.56746440430283,100.82458434481953,0,0.0,0.9064173311885495,-0.42238326401625736,0.0,0.9064173311885495,0.42238326401625736,3.0,0.9623178040005632,1.355266826822822,0.0,0.0,0.6857409283854917,0.8848571026146462,0.7006074482061173,0.8947660226952127,1.042668197662785,0.11332857400476583,-0.3097284398352869,0.08245843448195274,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.12353720188782058,0.06367232672135752
validation,cushion_cut_000,Cushion Cut,5,96.52193122432188,102.82653070122748,0,0.946892207157851,-1.7455831329380746e-17,-0.32155115926355055,0.946892207157851,1.7455831329380746e-17,0.32155115926355055,3.0,0.9623178040005632,1.355266826822822,0.0,0.0,0.7095659815217812,0.7724890178037199,0.6681222480598299,0.9909885889995093,1.2130794973457888,0.28247765896452615,-0.3178848908427366,0.2826530701227479,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.09890042959270402,0.05284232986440588
validation,cushion_cut_000,Cushion Cut,6,87.59360232970775,52.55610236004197,2,-0.9468921690285005,-1.7455837424753142e-17,-0.32155127154545926,0.9468921690285005,1.7455837424753142e-17,0.32155127154545926,3.0,0.9623178040005632,1.355266826822822,0.6666666666666666,0.6666666666666666,0.628496959372764,0.7797317663290024,0.6025260879842514,0.3315460680264475,0.6805446117044389,0.254723103992446,0.21939585463446531,0.25561023600419674,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.09890043574997605,0.1421911478104261
validation,cushion_cut_000,Cushion Cut,7,92.44025136716863,101.133220256825,0,0.0,0.6906732539370043,-0.7231669629456745,0.0,0.6906732539370043,0.7231669629456745,3.0,0.9623178040005632,1.355266826822822,0.0,0.0,0.6998479731821363,0.9359482517907023,0.7212309210817495,0.650116784219757,0.8737996400027531,0.1604674151523871,-0.2974679911672858,0.11332202568249998,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.14006104797172386,0.0972339975282872
validation,cushion_cut_000,Cushion Cut,8,96.9201293871821,102.81356602442158,0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.9623178040005632,1.355266826822822,0.0,0.0,0.6705501025301212,0.7728276401163727,0.6326936454708827,1.0296511164739688,1.2519352376109532,0.29269100782911095,-0.2837074639694557,0.28135660244215793,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.1316764004104447,0.04796789822823896
validation,cushion_cut_000,Cushion Cut,9,97.35659156574896,100.3245314742549,0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.9623178040005632,1.355266826822822,0.0,0.0,0.6377066032407667,0.8825924452330546,0.6358053096078119,1.137556416640045,1.1946130578007799,0.042249039551651345,-0.27034106871795255,0.032453147425489014,1.011998432804579,0.509179066519893,2.753379964660779,10.749711040067435,0.012520901134765564,0.042468632087241776
